t,plant,axis,phytomer,organ,element,PAR
0,1,MS,1,Internode,enclosed,0
0,1,MS,1,Internode,exposed,0
0,1,MS,1,Lamina,exposed,0
0,1,MS,1,Sheath,exposed,0
0,1,MS,2,Internode,enclosed,0
0,1,MS,2,Lamina,exposed,0
0,1,MS,2,Sheath,exposed,0
0,1,MS,3,Internode,enclosed,0
0,1,MS,3,Lamina,exposed,0
0,1,MS,3,Sheath,exposed,0
0,1,MS,4,Peduncle,enclosed,0
0,1,MS,4,Peduncle,exposed,0
0,1,MS,5,Chaff,exposed,0
1,1,MS,1,Internode,enclosed,0
1,1,MS,1,Internode,exposed,0
1,1,MS,1,Lamina,exposed,0
1,1,MS,1,Sheath,exposed,0
1,1,MS,2,Internode,enclosed,0
1,1,MS,2,Lamina,exposed,0
1,1,MS,2,Sheath,exposed,0
1,1,MS,3,Internode,enclosed,0
1,1,MS,3,Lamina,exposed,0
1,1,MS,3,Sheath,exposed,0
1,1,MS,4,Peduncle,enclosed,0
1,1,MS,4,Peduncle,exposed,0
1,1,MS,5,Chaff,exposed,0
2,1,MS,1,Internode,enclosed,0
2,1,MS,1,Internode,exposed,0
2,1,MS,1,Lamina,exposed,0
2,1,MS,1,Sheath,exposed,0
2,1,MS,2,Internode,enclosed,0
2,1,MS,2,Lamina,exposed,0
2,1,MS,2,Sheath,exposed,0
2,1,MS,3,Internode,enclosed,0
2,1,MS,3,Lamina,exposed,0
2,1,MS,3,Sheath,exposed,0
2,1,MS,4,Peduncle,enclosed,0
2,1,MS,4,Peduncle,exposed,0
2,1,MS,5,Chaff,exposed,0
3,1,MS,1,Internode,enclosed,0
3,1,MS,1,Internode,exposed,0
3,1,MS,1,Lamina,exposed,0
3,1,MS,1,Sheath,exposed,0
3,1,MS,2,Internode,enclosed,0
3,1,MS,2,Lamina,exposed,0
3,1,MS,2,Sheath,exposed,0
3,1,MS,3,Internode,enclosed,0
3,1,MS,3,Lamina,exposed,0
3,1,MS,3,Sheath,exposed,0
3,1,MS,4,Peduncle,enclosed,0
3,1,MS,4,Peduncle,exposed,0
3,1,MS,5,Chaff,exposed,0
4,1,MS,1,Internode,enclosed,0
4,1,MS,1,Internode,exposed,0
4,1,MS,1,Lamina,exposed,0
4,1,MS,1,Sheath,exposed,0
4,1,MS,2,Internode,enclosed,0
4,1,MS,2,Lamina,exposed,0
4,1,MS,2,Sheath,exposed,0
4,1,MS,3,Internode,enclosed,0
4,1,MS,3,Lamina,exposed,0
4,1,MS,3,Sheath,exposed,0
4,1,MS,4,Peduncle,enclosed,0
4,1,MS,4,Peduncle,exposed,0
4,1,MS,5,Chaff,exposed,0
5,1,MS,1,Internode,enclosed,0
5,1,MS,1,Internode,exposed,1
5,1,MS,1,Lamina,exposed,19
5,1,MS,1,Sheath,exposed,4
5,1,MS,2,Internode,enclosed,0
5,1,MS,2,Lamina,exposed,4
5,1,MS,2,Sheath,exposed,0
5,1,MS,3,Internode,enclosed,0
5,1,MS,3,Lamina,exposed,1
5,1,MS,3,Sheath,exposed,0
5,1,MS,4,Peduncle,enclosed,0
5,1,MS,4,Peduncle,exposed,9
5,1,MS,5,Chaff,exposed,22
6,1,MS,1,Internode,enclosed,0
6,1,MS,1,Internode,exposed,5
6,1,MS,1,Lamina,exposed,67
6,1,MS,1,Sheath,exposed,17
6,1,MS,2,Internode,enclosed,1
6,1,MS,2,Lamina,exposed,16
6,1,MS,2,Sheath,exposed,3
6,1,MS,3,Internode,enclosed,0
6,1,MS,3,Lamina,exposed,5
6,1,MS,3,Sheath,exposed,1
6,1,MS,4,Peduncle,enclosed,3
6,1,MS,4,Peduncle,exposed,34
6,1,MS,5,Chaff,exposed,78
7,1,MS,1,Internode,enclosed,1
7,1,MS,1,Internode,exposed,14
7,1,MS,1,Lamina,exposed,173
7,1,MS,1,Sheath,exposed,44
7,1,MS,2,Internode,enclosed,3
7,1,MS,2,Lamina,exposed,42
7,1,MS,2,Sheath,exposed,8
7,1,MS,3,Internode,enclosed,1
7,1,MS,3,Lamina,exposed,13
7,1,MS,3,Sheath,exposed,3
7,1,MS,4,Peduncle,enclosed,8
7,1,MS,4,Peduncle,exposed,88
7,1,MS,5,Chaff,exposed,202
8,1,MS,1,Internode,enclosed,2
8,1,MS,1,Internode,exposed,26
8,1,MS,1,Lamina,exposed,314
8,1,MS,1,Sheath,exposed,79
8,1,MS,2,Internode,enclosed,6
8,1,MS,2,Lamina,exposed,76
8,1,MS,2,Sheath,exposed,14
8,1,MS,3,Internode,enclosed,2
8,1,MS,3,Lamina,exposed,23
8,1,MS,3,Sheath,exposed,5
8,1,MS,4,Peduncle,enclosed,16
8,1,MS,4,Peduncle,exposed,160
8,1,MS,5,Chaff,exposed,364
9,1,MS,1,Internode,enclosed,1
9,1,MS,1,Internode,exposed,13
9,1,MS,1,Lamina,exposed,164
9,1,MS,1,Sheath,exposed,41
9,1,MS,2,Internode,enclosed,3
9,1,MS,2,Lamina,exposed,39
9,1,MS,2,Sheath,exposed,7
9,1,MS,3,Internode,enclosed,1
9,1,MS,3,Lamina,exposed,12
9,1,MS,3,Sheath,exposed,2
9,1,MS,4,Peduncle,enclosed,8
9,1,MS,4,Peduncle,exposed,83
9,1,MS,5,Chaff,exposed,190
