t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,15,1,700000,NA,NA
4,1,MS,15,1,699526.20433212351,699526.20433212351,0.007379999999999999
8,1,MS,15,1,698932.89843909419,698932.89843909419,0.007379999999999999
12,1,MS,15,1,698237.53945489798,698237.53945489798,0.007379999999999999
16,1,MS,15,1,697910.44612279604,697910.44612279604,0.007379999999999999
20,1,MS,15,1,697094.26221420814,697094.26221420814,0.007379999999999999
24,1,MS,15,1,696207.29592219391,696207.29592219391,0.007379999999999999
28,1,MS,15,1,695259.07683876134,695259.07683876134,0.007379999999999999
32,1,MS,15,1,694258.86759556865,694258.86759556865,0.007379999999999999
36,1,MS,15,1,693214.74024020473,693214.74024020473,0.007379999999999999
40,1,MS,15,1,692132.14578894957,692132.14578894957,0.007379999999999999
44,1,MS,15,1,691014.39452283632,691014.39452283632,0.007379999999999999
48,1,MS,15,1,689865.0697517806,689865.0697517806,0.007379999999999999
