t,plant,axis,phytomer,organ,element,exposed,PAR
0,1,MS,1,Internode,1,False,0
0,1,MS,1,Internode,2,True,0
0,1,MS,1,Lamina,1,True,0
0,1,MS,1,Sheath,1,True,0
0,1,MS,2,Internode,1,True,0
0,1,MS,2,Lamina,1,True,0
0,1,MS,2,Sheath,1,True,0
0,1,MS,3,Internode,1,True,0
0,1,MS,3,Lamina,1,True,0
0,1,MS,3,Sheath,1,True,0
0,1,MS,4,Peduncle,1,False,0
0,1,MS,4,Peduncle,2,True,0
0,1,MS,5,Chaff,1,True,0
1,1,MS,1,Internode,1,False,0
1,1,MS,1,Internode,2,True,0
1,1,MS,1,Lamina,1,True,0
1,1,MS,1,Sheath,1,True,0
1,1,MS,2,Internode,1,True,0
1,1,MS,2,Lamina,1,True,0
1,1,MS,2,Sheath,1,True,0
1,1,MS,3,Internode,1,True,0
1,1,MS,3,Lamina,1,True,0
1,1,MS,3,Sheath,1,True,0
1,1,MS,4,Peduncle,1,False,0
1,1,MS,4,Peduncle,2,True,0
1,1,MS,5,Chaff,1,True,0
2,1,MS,1,Internode,1,False,0
2,1,MS,1,Internode,2,True,0
2,1,MS,1,Lamina,1,True,0
2,1,MS,1,Sheath,1,True,0
2,1,MS,2,Internode,1,True,0
2,1,MS,2,Lamina,1,True,0
2,1,MS,2,Sheath,1,True,0
2,1,MS,3,Internode,1,True,0
2,1,MS,3,Lamina,1,True,0
2,1,MS,3,Sheath,1,True,0
2,1,MS,4,Peduncle,1,False,0
2,1,MS,4,Peduncle,2,True,0
2,1,MS,5,Chaff,1,True,0
3,1,MS,1,Internode,1,False,0
3,1,MS,1,Internode,2,True,0
3,1,MS,1,Lamina,1,True,0
3,1,MS,1,Sheath,1,True,0
3,1,MS,2,Internode,1,True,0
3,1,MS,2,Lamina,1,True,0
3,1,MS,2,Sheath,1,True,0
3,1,MS,3,Internode,1,True,0
3,1,MS,3,Lamina,1,True,0
3,1,MS,3,Sheath,1,True,0
3,1,MS,4,Peduncle,1,False,0
3,1,MS,4,Peduncle,2,True,0
3,1,MS,5,Chaff,1,True,0
4,1,MS,1,Internode,1,False,0
4,1,MS,1,Internode,2,True,0
4,1,MS,1,Lamina,1,True,0
4,1,MS,1,Sheath,1,True,0
4,1,MS,2,Internode,1,True,0
4,1,MS,2,Lamina,1,True,0
4,1,MS,2,Sheath,1,True,0
4,1,MS,3,Internode,1,True,0
4,1,MS,3,Lamina,1,True,0
4,1,MS,3,Sheath,1,True,0
4,1,MS,4,Peduncle,1,False,0
4,1,MS,4,Peduncle,2,True,0
4,1,MS,5,Chaff,1,True,0
5,1,MS,1,Internode,1,False,0
5,1,MS,1,Internode,2,True,1
5,1,MS,1,Lamina,1,True,19
5,1,MS,1,Sheath,1,True,4
5,1,MS,2,Internode,1,True,0
5,1,MS,2,Lamina,1,True,4
5,1,MS,2,Sheath,1,True,0
5,1,MS,3,Internode,1,True,0
5,1,MS,3,Lamina,1,True,1
5,1,MS,3,Sheath,1,True,0
5,1,MS,4,Peduncle,1,False,0
5,1,MS,4,Peduncle,2,True,9
5,1,MS,5,Chaff,1,True,22
6,1,MS,1,Internode,1,False,0
6,1,MS,1,Internode,2,True,5
6,1,MS,1,Lamina,1,True,67
6,1,MS,1,Sheath,1,True,17
6,1,MS,2,Internode,1,True,1
6,1,MS,2,Lamina,1,True,16
6,1,MS,2,Sheath,1,True,3
6,1,MS,3,Internode,1,True,0
6,1,MS,3,Lamina,1,True,5
6,1,MS,3,Sheath,1,True,1
6,1,MS,4,Peduncle,1,False,3
6,1,MS,4,Peduncle,2,True,34
6,1,MS,5,Chaff,1,True,78
7,1,MS,1,Internode,1,False,1
7,1,MS,1,Internode,2,True,14
7,1,MS,1,Lamina,1,True,173
7,1,MS,1,Sheath,1,True,44
7,1,MS,2,Internode,1,True,3
7,1,MS,2,Lamina,1,True,42
7,1,MS,2,Sheath,1,True,8
7,1,MS,3,Internode,1,True,1
7,1,MS,3,Lamina,1,True,13
7,1,MS,3,Sheath,1,True,3
7,1,MS,4,Peduncle,1,False,8
7,1,MS,4,Peduncle,2,True,88
7,1,MS,5,Chaff,1,True,202
8,1,MS,1,Internode,1,False,2
8,1,MS,1,Internode,2,True,26
8,1,MS,1,Lamina,1,True,314
8,1,MS,1,Sheath,1,True,79
8,1,MS,2,Internode,1,True,6
8,1,MS,2,Lamina,1,True,76
8,1,MS,2,Sheath,1,True,14
8,1,MS,3,Internode,1,True,2
8,1,MS,3,Lamina,1,True,23
8,1,MS,3,Sheath,1,True,5
8,1,MS,4,Peduncle,1,False,16
8,1,MS,4,Peduncle,2,True,160
8,1,MS,5,Chaff,1,True,364
9,1,MS,1,Internode,1,False,1
9,1,MS,1,Internode,2,True,13
9,1,MS,1,Lamina,1,True,164
9,1,MS,1,Sheath,1,True,41
9,1,MS,2,Internode,1,True,3
9,1,MS,2,Lamina,1,True,39
9,1,MS,2,Sheath,1,True,7
9,1,MS,3,Internode,1,True,1
9,1,MS,3,Lamina,1,True,12
9,1,MS,3,Sheath,1,True,2
9,1,MS,4,Peduncle,1,False,8
9,1,MS,4,Peduncle,2,True,83
9,1,MS,5,Chaff,1,True,190
10,1,MS,1,Internode,1,False,2
10,1,MS,1,Internode,2,True,22
10,1,MS,1,Lamina,1,True,270
10,1,MS,1,Sheath,1,True,68
10,1,MS,2,Internode,1,True,5
10,1,MS,2,Lamina,1,True,65
10,1,MS,2,Sheath,1,True,12
10,1,MS,3,Internode,1,True,1
10,1,MS,3,Lamina,1,True,20
10,1,MS,3,Sheath,1,True,4
10,1,MS,4,Peduncle,1,False,13
10,1,MS,4,Peduncle,2,True,138
10,1,MS,5,Chaff,1,True,314
11,1,MS,1,Internode,1,False,0
11,1,MS,1,Internode,2,True,7
11,1,MS,1,Lamina,1,True,91
11,1,MS,1,Sheath,1,True,23
11,1,MS,2,Internode,1,True,1
11,1,MS,2,Lamina,1,True,22
11,1,MS,2,Sheath,1,True,4
11,1,MS,3,Internode,1,True,0
11,1,MS,3,Lamina,1,True,6
11,1,MS,3,Sheath,1,True,1
11,1,MS,4,Peduncle,1,False,4
11,1,MS,4,Peduncle,2,True,46
11,1,MS,5,Chaff,1,True,106
12,1,MS,1,Internode,1,False,1
12,1,MS,1,Internode,2,True,12
12,1,MS,1,Lamina,1,True,149
12,1,MS,1,Sheath,1,True,38
12,1,MS,2,Internode,1,True,3
12,1,MS,2,Lamina,1,True,36
12,1,MS,2,Sheath,1,True,7
12,1,MS,3,Internode,1,True,1
12,1,MS,3,Lamina,1,True,11
12,1,MS,3,Sheath,1,True,2
12,1,MS,4,Peduncle,1,False,7
12,1,MS,4,Peduncle,2,True,76
12,1,MS,5,Chaff,1,True,173
13,1,MS,1,Internode,1,False,1
13,1,MS,1,Internode,2,True,15
13,1,MS,1,Lamina,1,True,188
13,1,MS,1,Sheath,1,True,47
13,1,MS,2,Internode,1,True,3
13,1,MS,2,Lamina,1,True,45
13,1,MS,2,Sheath,1,True,8
13,1,MS,3,Internode,1,True,1
13,1,MS,3,Lamina,1,True,14
13,1,MS,3,Sheath,1,True,3
13,1,MS,4,Peduncle,1,False,9
13,1,MS,4,Peduncle,2,True,96
13,1,MS,5,Chaff,1,True,218
14,1,MS,1,Internode,1,False,1
14,1,MS,1,Internode,2,True,18
14,1,MS,1,Lamina,1,True,217
14,1,MS,1,Sheath,1,True,55
14,1,MS,2,Internode,1,True,4
14,1,MS,2,Lamina,1,True,52
14,1,MS,2,Sheath,1,True,10
14,1,MS,3,Internode,1,True,1
14,1,MS,3,Lamina,1,True,16
14,1,MS,3,Sheath,1,True,3
14,1,MS,4,Peduncle,1,False,11
14,1,MS,4,Peduncle,2,True,111
14,1,MS,5,Chaff,1,True,252
15,1,MS,1,Internode,1,False,0
15,1,MS,1,Internode,2,True,5
15,1,MS,1,Lamina,1,True,62
15,1,MS,1,Sheath,1,True,15
15,1,MS,2,Internode,1,True,1
15,1,MS,2,Lamina,1,True,15
15,1,MS,2,Sheath,1,True,2
15,1,MS,3,Internode,1,True,0
15,1,MS,3,Lamina,1,True,4
15,1,MS,3,Sheath,1,True,1
15,1,MS,4,Peduncle,1,False,3
15,1,MS,4,Peduncle,2,True,32
15,1,MS,5,Chaff,1,True,72
16,1,MS,1,Internode,1,False,0
16,1,MS,1,Internode,2,True,3
16,1,MS,1,Lamina,1,True,38
16,1,MS,1,Sheath,1,True,9
16,1,MS,2,Internode,1,True,0
16,1,MS,2,Lamina,1,True,9
16,1,MS,2,Sheath,1,True,1
16,1,MS,3,Internode,1,True,0
16,1,MS,3,Lamina,1,True,2
16,1,MS,3,Sheath,1,True,0
16,1,MS,4,Peduncle,1,False,1
16,1,MS,4,Peduncle,2,True,19
16,1,MS,5,Chaff,1,True,44
17,1,MS,1,Internode,1,False,0
17,1,MS,1,Internode,2,True,3
17,1,MS,1,Lamina,1,True,43
17,1,MS,1,Sheath,1,True,11
17,1,MS,2,Internode,1,True,0
17,1,MS,2,Lamina,1,True,10
17,1,MS,2,Sheath,1,True,2
17,1,MS,3,Internode,1,True,0
17,1,MS,3,Lamina,1,True,3
17,1,MS,3,Sheath,1,True,0
17,1,MS,4,Peduncle,1,False,2
17,1,MS,4,Peduncle,2,True,22
17,1,MS,5,Chaff,1,True,50
18,1,MS,1,Internode,1,False,0
18,1,MS,1,Internode,2,True,5
18,1,MS,1,Lamina,1,True,62
18,1,MS,1,Sheath,1,True,15
18,1,MS,2,Internode,1,True,1
18,1,MS,2,Lamina,1,True,15
18,1,MS,2,Sheath,1,True,2
18,1,MS,3,Internode,1,True,0
18,1,MS,3,Lamina,1,True,4
18,1,MS,3,Sheath,1,True,1
18,1,MS,4,Peduncle,1,False,3
18,1,MS,4,Peduncle,2,True,32
18,1,MS,5,Chaff,1,True,72
19,1,MS,1,Internode,1,False,0
19,1,MS,1,Internode,2,True,1
19,1,MS,1,Lamina,1,True,19
19,1,MS,1,Sheath,1,True,4
19,1,MS,2,Internode,1,True,0
19,1,MS,2,Lamina,1,True,4
19,1,MS,2,Sheath,1,True,0
19,1,MS,3,Internode,1,True,0
19,1,MS,3,Lamina,1,True,1
19,1,MS,3,Sheath,1,True,0
19,1,MS,4,Peduncle,1,False,0
19,1,MS,4,Peduncle,2,True,9
19,1,MS,5,Chaff,1,True,22
20,1,MS,1,Internode,1,False,0
20,1,MS,1,Internode,2,True,0
20,1,MS,1,Lamina,1,True,0
20,1,MS,1,Sheath,1,True,0
20,1,MS,2,Internode,1,True,0
20,1,MS,2,Lamina,1,True,0
20,1,MS,2,Sheath,1,True,0
20,1,MS,3,Internode,1,True,0
20,1,MS,3,Lamina,1,True,0
20,1,MS,3,Sheath,1,True,0
20,1,MS,4,Peduncle,1,False,0
20,1,MS,4,Peduncle,2,True,0
20,1,MS,5,Chaff,1,True,0
21,1,MS,1,Internode,1,False,0
21,1,MS,1,Internode,2,True,0
21,1,MS,1,Lamina,1,True,0
21,1,MS,1,Sheath,1,True,0
21,1,MS,2,Internode,1,True,0
21,1,MS,2,Lamina,1,True,0
21,1,MS,2,Sheath,1,True,0
21,1,MS,3,Internode,1,True,0
21,1,MS,3,Lamina,1,True,0
21,1,MS,3,Sheath,1,True,0
21,1,MS,4,Peduncle,1,False,0
21,1,MS,4,Peduncle,2,True,0
21,1,MS,5,Chaff,1,True,0
22,1,MS,1,Internode,1,False,0
22,1,MS,1,Internode,2,True,0
22,1,MS,1,Lamina,1,True,0
22,1,MS,1,Sheath,1,True,0
22,1,MS,2,Internode,1,True,0
22,1,MS,2,Lamina,1,True,0
22,1,MS,2,Sheath,1,True,0
22,1,MS,3,Internode,1,True,0
22,1,MS,3,Lamina,1,True,0
22,1,MS,3,Sheath,1,True,0
22,1,MS,4,Peduncle,1,False,0
22,1,MS,4,Peduncle,2,True,0
22,1,MS,5,Chaff,1,True,0
23,1,MS,1,Internode,1,False,0
23,1,MS,1,Internode,2,True,0
23,1,MS,1,Lamina,1,True,0
23,1,MS,1,Sheath,1,True,0
23,1,MS,2,Internode,1,True,0
23,1,MS,2,Lamina,1,True,0
23,1,MS,2,Sheath,1,True,0
23,1,MS,3,Internode,1,True,0
23,1,MS,3,Lamina,1,True,0
23,1,MS,3,Sheath,1,True,0
23,1,MS,4,Peduncle,1,False,0
23,1,MS,4,Peduncle,2,True,0
23,1,MS,5,Chaff,1,True,0
24,1,MS,1,Internode,1,False,0
24,1,MS,1,Internode,2,True,0
24,1,MS,1,Lamina,1,True,0
24,1,MS,1,Sheath,1,True,0
24,1,MS,2,Internode,1,True,0
24,1,MS,2,Lamina,1,True,0
24,1,MS,2,Sheath,1,True,0
24,1,MS,3,Internode,1,True,0
24,1,MS,3,Lamina,1,True,0
24,1,MS,3,Sheath,1,True,0
24,1,MS,4,Peduncle,1,False,0
24,1,MS,4,Peduncle,2,True,0
24,1,MS,5,Chaff,1,True,0
25,1,MS,1,Internode,1,False,0
25,1,MS,1,Internode,2,True,0
25,1,MS,1,Lamina,1,True,0
25,1,MS,1,Sheath,1,True,0
25,1,MS,2,Internode,1,True,0
25,1,MS,2,Lamina,1,True,0
25,1,MS,2,Sheath,1,True,0
25,1,MS,3,Internode,1,True,0
25,1,MS,3,Lamina,1,True,0
25,1,MS,3,Sheath,1,True,0
25,1,MS,4,Peduncle,1,False,0
25,1,MS,4,Peduncle,2,True,0
25,1,MS,5,Chaff,1,True,0
26,1,MS,1,Internode,1,False,0
26,1,MS,1,Internode,2,True,0
26,1,MS,1,Lamina,1,True,0
26,1,MS,1,Sheath,1,True,0
26,1,MS,2,Internode,1,True,0
26,1,MS,2,Lamina,1,True,0
26,1,MS,2,Sheath,1,True,0
26,1,MS,3,Internode,1,True,0
26,1,MS,3,Lamina,1,True,0
26,1,MS,3,Sheath,1,True,0
26,1,MS,4,Peduncle,1,False,0
26,1,MS,4,Peduncle,2,True,0
26,1,MS,5,Chaff,1,True,0
27,1,MS,1,Internode,1,False,0
27,1,MS,1,Internode,2,True,0
27,1,MS,1,Lamina,1,True,0
27,1,MS,1,Sheath,1,True,0
27,1,MS,2,Internode,1,True,0
27,1,MS,2,Lamina,1,True,0
27,1,MS,2,Sheath,1,True,0
27,1,MS,3,Internode,1,True,0
27,1,MS,3,Lamina,1,True,0
27,1,MS,3,Sheath,1,True,0
27,1,MS,4,Peduncle,1,False,0
27,1,MS,4,Peduncle,2,True,0
27,1,MS,5,Chaff,1,True,0
28,1,MS,1,Internode,1,False,0
28,1,MS,1,Internode,2,True,0
28,1,MS,1,Lamina,1,True,0
28,1,MS,1,Sheath,1,True,0
28,1,MS,2,Internode,1,True,0
28,1,MS,2,Lamina,1,True,0
28,1,MS,2,Sheath,1,True,0
28,1,MS,3,Internode,1,True,0
28,1,MS,3,Lamina,1,True,0
28,1,MS,3,Sheath,1,True,0
28,1,MS,4,Peduncle,1,False,0
28,1,MS,4,Peduncle,2,True,0
28,1,MS,5,Chaff,1,True,0
29,1,MS,1,Internode,1,False,0
29,1,MS,1,Internode,2,True,0
29,1,MS,1,Lamina,1,True,9
29,1,MS,1,Sheath,1,True,2
29,1,MS,2,Internode,1,True,0
29,1,MS,2,Lamina,1,True,2
29,1,MS,2,Sheath,1,True,0
29,1,MS,3,Internode,1,True,0
29,1,MS,3,Lamina,1,True,0
29,1,MS,3,Sheath,1,True,0
29,1,MS,4,Peduncle,1,False,0
29,1,MS,4,Peduncle,2,True,4
29,1,MS,5,Chaff,1,True,11
30,1,MS,1,Internode,1,False,0
30,1,MS,1,Internode,2,True,2
30,1,MS,1,Lamina,1,True,33
30,1,MS,1,Sheath,1,True,8
30,1,MS,2,Internode,1,True,0
30,1,MS,2,Lamina,1,True,8
30,1,MS,2,Sheath,1,True,1
30,1,MS,3,Internode,1,True,0
30,1,MS,3,Lamina,1,True,2
30,1,MS,3,Sheath,1,True,0
30,1,MS,4,Peduncle,1,False,1
30,1,MS,4,Peduncle,2,True,17
30,1,MS,5,Chaff,1,True,39
31,1,MS,1,Internode,1,False,0
31,1,MS,1,Internode,2,True,6
31,1,MS,1,Lamina,1,True,82
31,1,MS,1,Sheath,1,True,20
31,1,MS,2,Internode,1,True,1
31,1,MS,2,Lamina,1,True,19
31,1,MS,2,Sheath,1,True,3
31,1,MS,3,Internode,1,True,0
31,1,MS,3,Lamina,1,True,6
31,1,MS,3,Sheath,1,True,1
31,1,MS,4,Peduncle,1,False,4
